ID,name,sex,type ,job title,films,video,range,home
50,Der Vorleser,0,2,0,0,0,0,0
51,die 7. Stunde,0,2,0,0,0,0,0
52,Die Affaere Semmeling,0,2,0,0,0,0,0
53,Die Boxerin,0,2,0,0,0,0,0
54,Die Frau aus dem Meer,0,2,0,0,0,0,0
55,Die Spaetzuender,0,2,0,0,0,0,0
56,Die Sturmflut,0,2,0,0,0,0,0
57,Die wilden Huehner und das Leben,0,2,0,0,0,0,0
58,Dina Foxx: Toedlicher Kontakt,0,2,0,0,0,0,0
59,Dornroeschen erwacht,0,2,0,0,0,0,0
60,Dutschke,0,2,0,0,0,0,0
61,Ein Dorf schweigt,0,2,0,0,0,0,0
62,Ein goettlicher Job,0,2,0,0,0,0,0
63,Ein Job,0,2,0,0,0,0,0
64,Ein starkes Team: Zahn um Zahn,0,2,0,0,0,0,0
65,Ein weites Herz: Schicksalsjahre einer deutschen Familie,0,2,0,0,0,0,0
66,Einer bleibt sitzen,0,2,0,0,0,0,0
67,Empathie,0,2,0,0,0,0,0
68,Endstation Sehnsucht,0,2,0,0,0,0,0
69,Entfuehrt,0,2,0,0,0,0,0
70,Falco - Verdammt wir leben noch,0,2,0,0,0,0,0
71,Familie auf Bestellung,0,2,0,0,0,0,0
72,Fasten a la Carte,0,2,0,0,0,0,0
73,Fleisch ist mein Gemuese,0,2,0,0,0,0,0
74,Frau Temme sucht das Glueck,0,2,0,0,0,0,0
75,Frauen,0,2,0,0,0,0,0
76,Gleißende Glueck,0,2,0,0,0,0,0
77,Global Player - Wo wir sind isch vorne,0,2,0,0,0,0,0
78,Goethe,0,2,0,0,0,0,0
79,Goldene Zeiten,0,2,0,0,0,0,0
80,Gotthard,0,2,0,0,0,0,0
81,Groupies bleiben nicht zum Fruehstueck,0,2,0,0,0,0,0
82,Halt auf freier Strecke,0,2,0,0,0,0,0
83,Happy Burnout,0,2,0,0,0,0,0
84,Harms,0,2,0,0,0,0,0
85,Heil,0,2,0,0,0,0,0
86,Heimliche Liebe: Der Schueler und die Postbotin,0,2,0,0,0,0,0
87,Herbe Mischung,0,2,0,0,0,0,0
88,Herztoene,0,2,0,0,0,0,0
89,Hilde,0,2,0,0,0,0,0
90,Hin und Weg,0,2,0,0,0,0,0
91,Im Namen meines Sohnes,0,2,0,0,0,0,0
92,In Zeiten des abnehmenden Lichts,0,2,0,0,0,0,0
93,Inklusion: gemeinsam anders,0,2,0,0,0,0,0
94,Jedermann (Theater),0,2,0,0,0,0,0
95,Jerks,0,2,0,0,0,0,0
96,KDD - Kriminaldauerdienst,0,2,0,0,0,0,0
97,Klimt,0,2,0,0,0,0,0
98,Kommissar Rex,0,2,0,0,0,0,0
99,Kreuzweg,0,2,0,0,0,0,0
100,Kriminaldauerdienst,0,2,0,0,0,0,0
101a,"01 Ku'damm 59 (1/3), Nicki und Freddy machen Musik",0,2,0,0,0,0,0
101b,02 Ku'damm 63 (2/3),0,2,0,0,0,0,0
102,Kuckuckszeit,0,2,0,0,0,0,0
103,Kuehn hat zu tun,0,2,0,0,0,0,0
104,Lena Lorenz: Geschwisterliebe,0,2,0,0,0,0,0
105,Liebe Mauer,0,2,0,0,0,0,0
106,Liebe und Verrat,0,2,0,0,0,0,0
107,Little Thirteen,0,2,0,0,0,0,0
108,Louis van Beethoven,0,2,0,0,0,0,0
109,MA 2412: Die Staatsdiener,0,2,0,0,0,0,0
110,MA 2412: Parkpickerl,0,2,0,0,0,0,0
111,Mandy: Das Sozialdrama,0,2,0,0,0,0,0
112,Mann tut was Mann kann,0,2,0,0,0,0,0
113a,Maennerherzen,0,2,0,0,0,0,0
113b,Maennerherzen und die ganz ganz große Liebe,0,2,0,0,0,0,0
114,Maennertreu,0,2,0,0,0,0,0
115,Meeresleuchten,0,2,0,0,0,0,0
116,"Mein Vater, meine Frau und meine Geliebte",0,2,0,0,0,0,0
117,Milk & Honey,0,2,0,0,0,0,0
118,Mordkommission Berlin 1,0,2,0,0,0,0,0
119,München 72: Das Attentat,0,2,0,0,0,0,0
120,Mutig in die neuen Zeiten: im Reich der Reblaus,0,2,0,0,0,0,0
121,Nachtschicht: Vatertag,0,2,0,0,0,0,0
122,Nebenan,0,2,0,0,0,0,0
123,Neun Szenen,0,2,0,0,0,0,0
124,Nicht alle waren Moerder,0,2,0,0,0,0,0
125,Nichts ist vergessen,0,2,0,0,0,0,0
126,NOE,0,2,0,0,0,0,0
127,Nord Nord Mord: Cluever und die fremde Frau,0,2,0,0,0,0,0
128,Nordwand,0,2,0,0,0,0,0
129,Notruf Hafenkante: Weggesperrt,0,2,0,0,0,0,0
130,Nur eine Nacht,0,2,0,0,0,0,0
131,Olgas Sommer,0,2,0,0,0,0,0
132,Outside the Box,0,2,0,0,0,0,0
133,Parfum,0,2,0,0,0,0,0
134,Petting statt Pershing,0,2,0,0,0,0,0
135,Pinocchio,0,2,0,0,0,0,0
136a,Polizeiruf 110: Der Tod und das Maedchen,0,2,0,0,0,0,0
136b,Polizeiruf 110: Tod einer Toten,0,2,0,0,0,0,0
137,Prometheus (Theater),0,2,0,0,0,0,0
138,Quellen des Lebens,0,2,0,0,0,0,0
139,Reich oder tot,0,2,0,0,0,0,0
140,"Renn, wenn du kannst",0,2,0,0,0,0,0
141,Rommel,0,2,0,0,0,0,0
142,Rote Rosen,0,2,0,0,0,0,0
143,Russendisko,0,2,0,0,0,0,0
144,Schade um das schoene Geld,0,2,0,0,0,0,0
145,Schief gewickelt,0,2,0,0,0,0,0
146,Schlussmacher,0,2,0,0,0,0,0
147,Schneeweißchen und Rosenrot,0,2,0,0,0,0,0
148,Schoene heile Welt,0,2,0,0,0,0,0
149,Schutzengel,0,2,0,0,0,0,0
150,Schwaegereltern,0,2,0,0,0,0,0
151,SK Koelsch,0,2,0,0,0,0,0
152,Skylines,0,2,0,0,0,0,0
153,So gluecklich war ich noch nie,0,2,0,0,0,0,0
154,So viel Zeit,0,2,0,0,0,0,0
155,So weit das Meer,0,2,0,0,0,0,0
156,Sommer vorm Balkon,0,2,0,0,0,0,0
157,Sperling: Sperling und die kalte Angst,0,2,0,0,0,0,0
158,Spieltrieb,0,2,0,0,0,0,0
159a,Spreewaldkrimi: Das Laecheln der Schimaere,0,2,0,0,0,0,0
159b,Spreewaldkrimi: Toedliche Heimkehr,0,2,0,0,0,0,0
160,Stauffenberg,0,2,0,0,0,0,0
161,Stralsund: Blutige Faehrte,0,2,0,0,0,0,0
162,Tag und Nacht,0,2,0,0,0,0,0
163,Taking Sides: Der Fall Furtwaengler,0,2,0,0,0,0,0
164a,Tatort: Altlasten,0,2,0,0,0,0,0
164b,Tatort: Ausweglos,0,2,0,0,0,0,0
164c,Tatort: Das erste Opfer,0,2,0,0,0,0,0
164d,Tatort: Das ist unser Haus,0,2,0,0,0,0,0
164e,Tatort: Das Nest,0,2,0,0,0,0,0
164f,Tatort: Dein Name Sei Harbinger,0,2,0,0,0,0,0
164g,Tatort: Die dunkle Seite,0,2,0,0,0,0,0
164h,Tatort: Die Ferien des Monsieur Murot,0,2,0,0,0,0,0
164i,Tatort: Die harte Kern,0,2,0,0,0,0,0
164j,Tatort: Die Sonne stirbt wie ein Tier,0,2,0,0,0,0,0
164k,Tatort: Die Unsichtbare,0,2,0,0,0,0,0
164l,Tatort: Die Wahrheit stirbt zuerst,0,2,0,0,0,0,0
164m,Tatort: Ein Tag wie jeder andere,0,2,0,0,0,0,0
164n,Tatort: Fette Krieger,0,2,0,0,0,0,0
164o,Tatort: Feuerteufel,0,2,0,0,0,0,0
164p,Tatort: HAL,0,2,0,0,0,0,0
164q,Tatort: Heimwaerts,0,2,0,0,0,0,0
164r,Tatort: Im Abseits,0,2,0,0,0,0,0
164s,Tatort: In eigener Sache,0,2,0,0,0,0,0
164t,Tatort: Leiden wie ein Tier,0,2,0,0,0,0,0
164u,Tatort: Level X,0,2,0,0,0,0,0
164v,Tatort: Murot und das Murmeltier,0,2,0,0,0,0,0
164w,Tatort: Querschlaeger,0,2,0,0,0,0,0
164x,Tatort: Rhythm And Love,0,2,0,0,0,0,0
164y,Tatort: Schoen ist anders,0,2,0,0,0,0,0
164z,Tatort: Schwarzer Afghane,0,2,0,0,0,0,0
164aa,Tatort: Stau,0,2,0,0,0,0,0
164ab,Tatort: Todesschuetze,0,2,0,0,0,0,0
164ac,Tatort: Todesstrafe,0,2,0,0,0,0,0
164ad,Tatort: Tyrannenmord,0,2,0,0,0,0,0
164ae,Tatort: Unbestechlich,0,2,0,0,0,0,0
164af,Tatort: Vermisst,0,2,0,0,0,0,0
164ag,Tatort: Weg ins Paradies,0,2,0,0,0,0,0
164ah,Tatort: Wie einst Lilly,0,2,0,0,0,0,0
164ai,Tatort: Zorn Gottes,0,2,0,0,0,0,0
165,"Ternitz, Tennessee",0,2,0,0,0,0,0
166,the cut,0,2,0,0,0,0,0
167,The Girl in the Spider's web,0,2,0,0,0,0,0
168,Theresa Wolff: Der Thüringenkrimi,0,2,0,0,0,0,0
169,Toedliches Comeback,0,2,0,0,0,0,0
170,Tosca (Theater),0,2,0,0,0,0,0
171,"Unsere Muetter, Unsere Vaeter",0,2,0,0,0,0,0
172,Unsere Zeit ist jetzt,0,2,0,0,0,0,0
173a,Unter anderen Umständen: Boese Maedchen,0,2,0,0,0,0,0
173b,Unter anderen Umstaenden: Im finstern Tal,0,2,0,0,0,0,0
173c,Unter anderen Umstaenden: Spiel mit dem Feuer,0,2,0,0,0,0,0
174,Unter Frauen,0,2,0,0,0,0,0
175,Verbotene Liebe,0,2,0,0,0,0,0
176,Viel Laerm um nichts,0,2,0,0,0,0,0
177,Vier Minuten,0,2,0,0,0,0,0
178,Warten auf Angelina,0,2,0,0,0,0,0
179,Warum laeuft Herr V. Amok,0,2,0,0,0,0,0
180,Was hat und bloß so ruiniert,0,2,0,0,0,0,0
181,Was im Leben zaehlt,0,2,0,0,0,0,0
182,Weil wir Champions sind,0,2,0,0,0,0,0
183,Westwall,0,2,0,0,0,0,0
184,Willkommen zu Hause,0,2,0,0,0,0,0
185,Wilsberg: Todesengel,0,2,0,0,0,0,0
186,Wo ist Fred,0,2,0,0,0,0,0
187,Woyzeck,0,2,0,0,0,0,0
188,Z.E.R.V.,0,2,0,0,0,0,0
189,Zettl,0,2,0,0,0,0,0
190,Zimtstern und Halbmond,0,2,0,0,0,0,0
191,Zum Sterben zu früh,0,2,0,0,0,0,0
192,Zwei Leben,0,2,0,0,0,0,0
193,agentur factory,0,3,0,0,0,0,0
194,die agenten GmbH,0,3,0,0,0,0,0
195,fitz + skoglund agents,0,3,0,0,0,0,0
196,Homebase Agentur,0,3,0,0,0,0,0
197,Players Agentur Management GmbH,0,3,0,0,0,0,0
198,PUBLICS PR & Management,0,3,0,0,0,0,0
199,ZAV Berlin,0,3,0,0,0,0,0
200,Comedy Tour,0,4,0,0,0,0,0
201,Projekt: Changemakers,0,4,0,0,0,0,0
202,Projekt: Los fuer Lesbos,0,4,0,0,0,0,0
